Latitude,Longitude,Class
12.82604842,80.03682105,L
12.82680947,80.03682105,M
12.82757053,80.03682105,M
12.82833158,80.03682105,M
12.82909263,80.03682105,M
12.82985368,80.03682105,L
12.83061474,80.03682105,L
12.83137579,80.03682105,L
12.83213684,80.03682105,L
12.83289789,80.03682105,L
12.83365895,80.03682105,L
12.83442,80.03682105,L
12.81996,80.03606,L
12.82072105,80.03606,L
12.82148211,80.03606,L
12.82224316,80.03606,L
12.82300421,80.03606,L
12.82376526,80.03606,L
12.82452632,80.03606,L
12.82528737,80.03606,L
12.82604842,80.03606,M
12.82680947,80.03606,M
12.82757053,80.03606,M
12.82833158,80.03606,M
12.82909263,80.03606,M
12.82985368,80.03606,L
12.83061474,80.03606,L
12.83137579,80.03606,L
12.83213684,80.03606,L
12.83289789,80.03606,L
12.83365895,80.03606,L
12.83442,80.03606,L
